GT,sliceID,brainID,neuronArea,cgArea,cgPer,astroArea,ctxArea,infArea,globScore,infPerc
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_0.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,239489.0,214741.0,86372.04803513444,4229.0,974324.0,3047.0,8.86481786706829,0.3127296464009918
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_1.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,257400.0,221829.0,90825.84860943444,6023.0,1018937.0,5616.0,8.913784523423375,0.5511626332148112
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_2.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,280660.0,215317.0,91507.64045663274,6370.0,1063008.0,2856.0,8.60836799503228,0.26867154339384086
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_3.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,287597.0,239606.0,100764.00524066878,8927.0,1099758.0,3517.0,9.162379836352068,0.3197976282054779
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_4.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,305300.0,243052.0,101466.45394211655,6069.0,1115356.0,2364.0,9.097225813293385,0.21195026520680393
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_5.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,314106.0,260091.0,107001.33099379978,5232.0,1112151.0,3474.0,9.621115387550772,0.31236765511158104
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_6.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,317287.0,285895.0,115451.50364348754,8276.0,1124384.0,2450.0,10.267978167911277,0.21789708853914677
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_7.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,321812.0,298140.0,119805.4707400289,7273.0,1153370.0,2236.0,10.387427342485838,0.1938666689787319
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_8.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,329439.0,296184.0,119401.38434084665,9000.0,1145291.0,1302.0,10.425418897105333,0.11368289805822275
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_9.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,323287.0,302387.0,121486.88531252879,7735.0,1152179.0,1381.0,10.544098209785874,0.11985984816595338
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_10.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,325758.0,308471.0,121000.06298205844,10120.0,1142968.0,3126.0,10.586478622503732,0.27349847064834715
6L,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B_11.tif,6L.63X.WT 8.31.19 488Ctx Cy3ast Cy5elav9B,316640.0,320396.0,124245.71323203924,17446.0,1120087.0,3643.0,11.092505602871853,0.3252425927628836
